payment_id,customer_id,staff_id,rental_id,amount,payment_date
25163,267,2,9807,2.99,2020-04-30 08:42:18.996577+00
25164,267,2,10048,4.99,2020-04-30 16:37:22.996577+00
25165,268,2,3670,4.99,2020-04-06 06:25:09.996577+00
25166,268,2,4626,4.99,2020-04-08 05:46:47.996577+00
25167,268,1,5039,7.99,2020-04-09 00:43:11.996577+00
25168,268,2,5671,2.99,2020-04-10 05:46:48.996577+00
25169,268,2,5793,2.99,2020-04-10 12:01:26.996577+00
25170,268,2,5888,6.99,2020-04-10 17:20:43.996577+00
25171,268,1,6120,3.99,2020-04-11 05:18:19.996577+00
25172,268,2,6489,1.99,2020-04-11 23:51:12.996577+00
25173,268,1,8931,2.99,2020-04-29 23:58:33.996577+00
25174,268,2,9436,7.99,2020-04-30 19:01:27.996577+00
25175,268,2,9531,3.99,2020-04-30 22:40:19.996577+00
25176,268,1,10040,1.99,2020-04-30 16:22:41.996577+00
25177,269,1,4125,9.99,2020-04-07 04:48:55.996577+00
25178,269,2,4804,0.99,2020-04-08 14:25:56.996577+00
25179,269,2,4880,6.99,2020-04-08 17:04:43.996577+00
25180,269,1,6440,2.99,2020-04-11 21:53:30.996577+00
25181,269,1,6626,5.99,2020-04-12 06:44:50.996577+00
25182,269,2,6804,4.99,2020-04-12 14:50:32.996577+00
25183,269,1,7032,4.99,2020-04-27 00:31:35.996577+00
25184,269,1,7537,6.99,2020-04-27 19:04:35.996577+00
25185,269,1,7972,2.99,2020-04-28 11:36:12.996577+00
25186,270,1,3501,3.99,2020-04-05 21:39:54.996577+00
25187,270,1,3987,9.99,2020-04-06 20:56:50.996577+00
25188,270,2,5533,0.99,2020-04-09 23:47:54.996577+00
25189,270,2,6520,4.99,2020-04-12 01:33:42.996577+00
25190,270,1,8355,2.99,2020-04-29 02:26:09.996577+00
25191,270,2,8618,3.99,2020-04-29 11:16:46.996577+00
25192,270,1,10069,3.99,2020-04-30 17:11:44.996577+00
25193,271,1,3640,1.99,2020-04-06 04:40:52.996577+00
25194,271,2,4545,2.99,2020-04-08 01:46:13.996577+00
25195,271,2,5878,1.99,2020-04-10 16:38:23.996577+00
25196,271,1,5922,2.99,2020-04-10 19:05:19.996577+00
25197,271,1,6024,2.99,2020-04-10 23:45:13.996577+00
25198,271,1,7618,3.99,2020-04-27 21:52:40.996577+00
25199,271,1,8592,0.99,2020-04-29 10:02:24.996577+00
25200,271,1,9821,4.99,2020-04-30 09:16:20.996577+00
25201,271,2,10143,7.99,2020-04-30 19:40:09.996577+00
25202,272,2,5047,3.99,2020-04-09 01:12:41.996577+00
25203,272,2,5158,2.99,2020-04-09 06:21:35.996577+00
